ID,DESCRICAO,timestamp,ESTOQUE,UNIDADE,LOJA,CATEGORIA,MARCA,QUALIDADE,QTD,URL,TAMANHO
id_62,Fralda Huggies Tripla Proteção XG 66 Unidades,2024-12-03 17:10:25,True,1.72,DPSP,fraldas,HUGGIES,TRIPLA PROTECAO,66,https://www.drogariasaopaulo.com.br/fralda-huggies-tripla-protecao-xg-66-kimberly-clark-brasil/p,XG
id_69,Fralda Huggies Tripla Proteção XG 22 Unidades,2024-12-03 17:10:25,True,1.95,DPSP,fraldas,HUGGIES,TRIPLA PROTECAO,22,https://www.drogariasaopaulo.com.br/fralda-huggies-tripla-protecao-tamanho-xg-22-unidades/p,XG
id_53,Fralda Pampers Premium Care XG 60 unidades,2024-12-03 17:10:25,True,1.86,DPSP,fraldas,PAMPERS,PREMIUM CARE,60,https://www.drogariasaopaulo.com.br/fralda-pampers-premium-care-jumbo-xg-60un-procter/p,XG
id_46,Fralda Pampers Confort Sec XG 62 Unidades,2024-12-03 17:10:25,True,2.03,DPSP,fraldas,PAMPERS,CONFORT SEC,62,https://www.drogariasaopaulo.com.br/fralda-descartavel-pampers-confort-sec-bag-giga-xg-62-unidades/p,XG
id_64,Fralda Huggies Tripla Proteção XG 32 Unidades,2024-12-03 17:10:25,True,1.71,DPSP,fraldas,HUGGIES,TRIPLA PROTECAO,32,https://www.drogariasaopaulo.com.br/fralda-huggies-tripla-protecao-xg-32-unidades/p,XG
id_43,Fralda Huggies Supreme Care XG 16 Unidades,2024-12-03 17:10:25,True,2.29,DPSP,fraldas,HUGGIES,SUPREME CARE,16,https://www.drogariasaopaulo.com.br/fralda-descartavel-huggies-supreme-care-jumbo-xg-16-unidades/p,XG
id_41,Fralda Pampers Confort Sec XG 34 Unidades,2024-12-03 17:10:25,True,2.06,DPSP,fraldas,PAMPERS,CONFORT SEC,34,https://www.drogariasaopaulo.com.br/fralda-descartavel-pampers-confort-sec-xg-34-unidades/p,XG
id_50,Fralda Pampers Premium Care XG 26 Unidades,2024-12-03 17:10:25,True,3.04,DPSP,fraldas,PAMPERS,PREMIUM CARE,26,https://www.drogariasaopaulo.com.br/fraldas-pampers-premium-care-mega-xg-26un-procter/p,XG
id_89,Fralda Huggies Supreme Care Max XG 82 unidades,2024-12-03 17:10:25,True,1.67,DROGARAIA,fraldas,HUGGIES,SUPREME CARE,82,https://www.drogaraia.com.br/huggies-fralda-aberta-supreme-care-max-tamanho-xg-82-unidades-1096059.html,XG
id_90,Fralda Pampers Confort Sec XG 88 unidades,2024-12-03 17:10:25,True,1.76,DROGARAIA,fraldas,PAMPERS,CONFORT SEC,88,https://www.drogaraia.com.br/pampers-confort-sec-fralda-xg-88-unidades.html,XG
id_91,Fralda Huggies Supreme Care Disney Baby XG 58 unidades,2024-12-03 17:10:25,True,1.81,DROGARAIA,fraldas,HUGGIES,SUPREME CARE,58,https://www.drogaraia.com.br/huggies-fralda-supreme-care-unissex-hiper-xg-58-unidades.html,XG
id_92,Fralda Pampers Supersec XG 68 unidades,2024-12-03 17:10:25,True,1.54,DROGARAIA,fraldas,PAMPERS,SUPERSEC,68,https://www.drogaraia.com.br/pampers-supersec-fralda-jumbo-xg-com-68-unidades.html,XG
